Company Name,Address,City,Phone,Website
PT DUNIA MARINE KALIMANTAN,"Jalan Bung Tomo Rt.04 No.24A Samarinda Seberang, ",Samarinda,(0541) 262338,http://www.jasamarine.co.id
Kumpulan remaja,"jln sudriman, ",Semarang,085201387529,https://kumpulanremaja.com
Pahlawan Pulsa,"Jl. Pakuan No. 02, ",Bogor,081294847476,https://pahlawanpulsa.com
Jember Pulsa,"JL airlangga 19 Kaliputih - Rambipuji (sebelah TK Al-Hidayah), ",Jember,081336352007,http://www.jemberpulsa.com
HoduSoft Pvt Ltd,"Grand Slipi Tower Level 42G - 42H, ",Jakarta,2130499504,http://hodusoft.com/
CV. SAKADU,"Jl. William Iskandar 38, ",Jakarta,021-6943758,http://www.sakadumarine.com
PT. Chics Samudera Teknologi,"Jalan Mayjend. D.I. Panjaitan no 45, ",Jakarta,+62 21 9414 0441,http://chicsteknologi.com
Toko Telepon Satelit,"Jln. Sunan Kalijaga No. 92, Larangan Indah - Ciledug, ",Tangerang,0217324948,https://tokoteleponsatelit.com
Toko Apple Jakarta,"Mal Ambasador Lnt. 2/36G, Jl. DR. Satrio Kuningan, Setia Budi, ",Jakarta,+62215762565,http://www.versacom.biz
telkomtelstra,"247, Jl. Casablanca No.88, ",Jakarta,(021) 80640600,http://www.telkomtelstra.co.id/
Sistech Kharisma,"Jl. Ir. H. Juanda IV No.3B-C, ",Jakarta,3807668,http://www.sistechkharisma.com
Merdeka Jaya Sentosa PT,"Jl Kepu Dlm IV 176 RT 015/03,Gunung Sahari Selatan,Kemayoran, ",Jakarta,021 4209622,http://www.kresnatel.com
Panorama Timur Jaya PT,"Jl Paus 89 D-E,Jati,Pulo Gadung, ",Jakarta,021 4751688,http://www.panorama.co.id
Nielsen Audience Measurement,"17/Fl. Mayapada Tower Jl Jend Sudirman Kav 28 12920, ",Jakarta,62 21 521 2200,http://www.agbnielsen.net
Mitracomm Ekasarana. PT,"The East Tower 15th Floor, JL. Lingkar Mega Kuningan, Kav. E3.2 No.1, 12950, ",Jakarta,+62 21 2555 6168,http://www.mitracomm.com
Ligital Mitra Sarana PT.,"IS PLASA 9th Floor, Suite 904, Jl.Pramuka Raya Kav 151 13120, ",Jakarta,62 21 46235550,http://www.atp.net.id
NEXCOM,"JL. RS. Fatmawati No. 15 - South Jakarta Kompleks D-Best Blok J5, 12420, ",Jakarta,+62 21 7511 225,http://www.nexcom.co.id
Jebsen & Jessen Communications,"Graha Inti Fauzi, 7th Floor, Jl. Buncit Raya No. 22 12510, ",Jakarta,62 21 2753 7100,http://www.comms.jjsea.com
Integra Solusindo Telematika PT,"Jl HR Rasuna Said Kav H/1-2 Puri Matari Anex Fl,Karet,Setia Budi, ",Jakarta,021 5265030,http://www.intouch.co.id
Inti Sel PT,"Jl Angsana Raya 5 RT 005/06,Pejaten Barat,Pasar Minggu, ",Jakarta,021 7902387,http://www.intisel.co.id
Graha Securindo Pratama,"Camar Indah 1 No.19, Pantai Indah Kapuk 14460, ",Jakarta,62 21 559 666 19,http://www.securindopratama.com
Elmekon PT,"Jl P Tubagus Angke 5-B RT 15/10, ",Jakarta,021 5675914,http://elmekon.wordpress.com
EL MIZAN CAKRAWALA CEMERLANG. PT,"JL. Perintis Kemerdekaan II No. 04 Komplek Perkantoran Cikokol, Tangerang-Banten 15117, ",Tangerang,+62 21 552 4001,http://www.emcfm.com
Biznet Networks (Supra Primatama Nusantara. PT),"JL. Jend. Sudirman Kav 10-11, Central Jakarta MidPlaza 2, 8th Floor, 10220, ",Jakarta,+62 21 5799 8888,http://www.biz.net.id
BNF Indonesia PT,"Jl HR Rasuna Said Kav C-6 Wisma Budi Lt 4 Suite 403,Karet Kuningan,Setia Bu, ",Jakarta,021 5213323,http://www.bnf.com
Consistel Indonesia PT,"Menara Batavia, 11th Floor, JL. KH Mas Mansyur Kav 126, 11270, ",Jakarta,+62 21 570 2515,http://www.consistel.com
Gema Angkasa Swara Alkhairat PT Radio,"Jl Bakuku 1,Balaroa,Palu Barat, ",Palu,0451 411804,http://ralpaluradio@wodpress.com
ArvioCCTV,"Sentra Salemba Mas Blok X Lt. 4, Jl. Salemba Raya 34 Jakarta Pusat, ",Jakarta,021-31901054,http://www.arviocctv.com
Universal Internet Servis,"saranani no 168, ",Kendari,+62818 0 8888 927,http://www.universalkendari.net
BICC Berca Cables. PT,"JL. Raya Serang, Km. 28,.5 CCM Industrial Estate, Banten 15610, ",Tangerang,+62 21 5954 545,http://www.biccberca.com
PT.FAJARINDO TAMITA ABADI,"Jl.dewi sartika No.148-jakarta Timur, ",Jakarta,082297028349,
Telesindo Mulia PT,"Jl Hayam Wuruk 8 Wisma Hayam Wuruk Lt 3,Kebon Kelapa,Gambir, ",Jakarta,021 3520424,http://www.telesindo.com
Sonora PT Radio,"Jl Kebahagiaan 4-14 Ged Perintis Lt 5,Krukut,Taman Sari, ",Jakarta,021 6340641,http://www.sonora.co.id
Telkom Solution House - Cikarang,"JL Niaga Raya, Ruko Capitol JABABEKA Tahap II Gedung President Executive Club Lt. 1, ",Jakarta,+62 21 8983 6911,http://www.telkom.co.id
TELKOMVision (Indonusa Telemedia PT),"JL Prof Dr Supomo No 139 TELKOMVision Building 3rd Floor, 12810, ",Jakarta,+62 21 829 8800,http://telkomvision.com
Solusi Pulsa,"Jalan Boulevard Timur Raya Blok A No.1,Kelapa Gading Permai 14240, ",Jakarta,021 45879072,http://www.solusipulsaonline.com
Satkomindo Mediyasa PT,"Jl Imam Bonjol 61 Plaza Bumi Daya 27th Fl,Menteng,Menteng, ",Jakarta,021 2302218,http://www.satkomindo.com
Radio Swara Adhiloka. PT (Radio Anak Jogja FM),"JL. P. Senopati, ",Yogyakarta,+62 274 551 321,http://www.radioanakjogja.com
Rekasel Neokomunikasi Internusa PT,"Jl Letjen MT Haryono Kav 2-3 Sakti Plaza Lt 2,Tebet Barat,Tebet, ",Jakarta,021 8301729,http://www.rekasel.com
Radio Siaran Sinar Natas Angin. PT (SiFM),"JL.Gajah Mada No.103, Tuban - East Java",View Map ,+62 356 320 111,http://www.sifmradio.com
Radio Pitaloka FM,"JL.Jenderal Sudirman 267 Sindangrasa, Ciamis-West Java 46215",View Map ,+62 265 771 848,http://www.pitalokafm.com/
Radio WADI FM,"JL.Veteran III, Loji Tapos, Cileungsi, Ciawi, West Java 16760, ",Bogor,+62 251 824 2894,http://www.wadi.co.id
Radio Suara Akbar. PT (Akbar FM),"JL. Trunojoyo 56, Jember - East Java",View Map ,+62 331 425 638,http://www.suaraakbar.com/
Radio Dakwah Islamiyyah Solo. PT,"JL. Adisumarmo 181, Solo - Central Java",View Map ,+62 271 765 1818,http://www.rdsfmsolo.com
Radio Visi Orang Medan Sumatera. PT (Radio Visi FM),"JL. Iskandar Muda No. 117 A, North Sumatra, ",Medan,+62 61 452 6154,http://visifm.co.id
Radio Swara Bojonegoro Indah. PT (Radio SBI FM),"JL. Untung Suropati 82, Bojonegoro - East Java",View Map ,+62 353 886 500,http://www.sbifmbojonegoro.com
Radio Solo Audio Utama. PT (Solopos FM),"JL. Adisucipto 190, Surakarta - Central Java 57145",View Map ,+62 271 739 321,http://www.solopos.net.id
Radio Bali Perkasa. PT (Bali FM),JL. Pudak No.9-X Batubulan Gianyar - Bali,View Map ,+62 361 291 020,http://www.radiobalifm.com
CV.TAZZAKA MULTI USAHA,"PERUM MARGOMULYO ASRI NO 33 JAMBALANGAN SEYEGAN SLEMAN, ",Java,0274-8516495,http://www.tazzakamultiusaha.com
BOOSTER144MHZ.COM LINEAR AMPLFIER,"JL. Margasatwa Raya No.63, Gg.Melati I, Pondok Labu, Cilandak - South Jakarta 12450, ",Jakarta,,http://booster144mhz.com
Bima Cellular,"Jl Raya Pasar Minggu 26,Pancoran,Jakarta selatan, ",Jakarta,08159224349,
Telkom Solution House - Chase Plaza,"JL Jendral Sudirman Kav. 21 Chase Plaza Ground Floor, ",Jakarta,0800 1 835566,http://www.telkom.co.id
Radio Suara Banyumas Asli,"JL. Prof.DR. Suharso Ruko Metro No.2 Purwokerto, ",Java,+62 281 643 294,
Telekomunikasi Indonesia PT Tbk Div Enterprise Service,"Jl Kb Sirih 12 Menara Multimedia Lt 18,Gambir,Gambir, ",Jakarta,021 3866600,http://www.telkom.co.id
Telkom Solution House - Grand Indonesia,"JL MH Thamrin No. 1 Grand Indonesia, East Mall 3rd #40, 10230, ",Jakarta,+62 21 2358 0027,http://www.telkom.co.id
Radio Mahkota . PT (Mahkota FM),"JL. Raya Babat, Lamongan - East Java",View Map ,+62 322 454 540,http://www.radiomahkota.com/
Radio MCA,"JL. Ketintang Timur IV No. 6, East Java 60231, ",Surabaya,+62 31 828 5501,http://radiomca.webs.com/
PT.SUDA MANDIRI INDONESIA,"Jl.Raya Pondok Gede No.37 Pinang Ranti Jakarta Timur 13560 IND, ",Jakarta,0218001161,https://perusahaanjasapengurusanbarangimport.blogspot.co.id
PT.MBM LOGISTICS,"Jl.Pendidikan Raya No.69 Duren Sawit, ",Jakarta,082243878369,http//www.mbm-logistics.com
Partibandar Utama PT,"Jl Raya Pasar Minggu 16-C,Pejaten Barat,Pasar Minggu, ",Jakarta,021 7974886,http://www.partigroup.com
JET Express,"JL. IL Lago Gading Serpong, Mendrisio 4 Blok A No 6-9, ",Tangerang,1500538,http://www.jetexpress.co.id
Jati Yaski Mandiri PT Radio,"Ruko Pinangsia Lippo Karawaci Blok G/29Panunggang Barat, Cibodas, 15139, ",Tangerang,+62 21 5526 764,http://www.heartline.co.id
Kidungindah Selarassuara PT Radio,"Jl Pinang Emas I Bl B/11 12310, ",Jakarta,021-7652524,http://www.kissfm-medan.com
Radio Khama Sutra. PT (Most FM),"JL. Hocky 21, North Sumatera20217, ",Medan,+62 61 736 0015,http://991mostfm.com
Jasnikom Gemanusa. PT,"Menara BDN, 10th Floor, JL. MH Thamrin 5, 10340, ",Jakarta,+62 21 398 33111,http://www.jasnikom.com
Radio Suara Nafiri. PT,"JL. Manyar Kartika Timur 2-6 Surabaya, ",Surabaya,+62 31 591 1957,http://www.nafirifm.net/
Radio Fiskaria Jaya Suara Surabaya. PT (Suara Surabaya),"JL. Wonokitri Besar 40-C, East Java 60256, ",Surabaya,+62 31 568 3040,http://www.suarasurabaya.net
Radio Swara Perak Jaya. PT (Perak Jaya FM),"JL.Rungkut Industri III No.68 & 70 SIER, East Java 60293, ",Surabaya,+62 31 841 9000,http://www.surya.co.id
Radio Gema Karang Putih. PT (Classy FM),"Gedung Serba Guna, 2nd Floor, Komp. PT Semen Padang, Indarung, West Sumatera, 25237, ",Padang,+62 751 74 900,http://www.classyfm.co.id
Radio Monaria. PT,"JL. Jl. Tanjung Datuk No. 188, Pekan Baru - Riau, 28143, ",Pekanbaru,+62 761 24 408,http://www.monariafm.com
Radio Terminalsuara Lestari. PT (Radio Telstar),"JL. Ali Malaka No.26, Makasar - South Sulawesi, 90112, ",Makassar,+62 411 361 2642,http://www.telstarfm.com
PT Triguna Sakti Sejahtera,"Jl. Kasuari Raya Blok S1 No.A22, Kota Jababeka Cikarang Baru Bekasi, ",Bekasi,021-32018999,http://www.PT-MTM.com
Primacipta Communication,"Lindeteves Trade Centre (LTC Glodok) Lt I Blok C31 No:9, JL.Hayam Wuruk 127 JKT 11180, Jakarta, ",Jakarta,021-68841963,http://www.primaciptacomm.indonetwork.co.id
Omni Cakrawala Komunikasi PT,"Jl Tentara Pelajar Rukan Permata Senayan Bl D/11,Grogol Utara,Kebayoran Lam, ",Jakarta,021 57940799,http://www.omnicom.co.id
Kidung Indah Suara Serasi. PT (Prambors Jogja),"JL. Letjend. Suprapto No. 42, Yogyakarta 55261, ",Yogyakarta,+62 274 564 534,http://pramborsfm.com/new/index.php?option=com_content&view=article&id=201&Itemid=296
Great Oriental Trading Co,"48, Kazi Nazrul Islam Avenue(4st Floor), Kawran Bazar",,9121311,http://www.callontime.com
Friend Telecom. Ltd.,"873, Outer Circular Road (2nd Floor.)",,9335723,http://www.callontime.com
Golden Chrysan,"Jl Mangga Dua Raya ITC Mangga Dua Bl D Lt 2/2,Ancol,Pademangan, ",Jakarta,021 6014607,http://www.istanabayi.com
GrageHolic Cirebon,"Blok Cimanuk 18, ",Cirebon,083823718584,http://Grageholic.blogspot.com
Gelora Ronggolawe PT Radio,Jl.Dr. Wahidin Sudirohusodo No.56 Tuban - East Java 62314,View Map ,+62 356 321 409,
Metaplas Harmoni PT,"Jl Palem II Bl DS/11-A Kawasan Industri Hyundai,Lemahabang, ",Bekasi,021 8974366,http://www.metaplas.co.id
Century Trade International,"Near Kaptai Road, Chandgaon",,031-671003,http://www.callontime.com
Malaka FM Radio,"Jl Jend Sudirman Gg Bhakti 36, ",Dumai,0765 36451,http://www.malakafmdumai.com
Computech Integrasi Solution,"Pusat Niaga Roxy Mas Blok E1/44 Cideng, Gambir Jakarta Pusat, ",Jakarta,021-29617980,http://computech.co.id
Karya Perdana Mandiri,"MGK KEMAYORAN Ground Floor A11 No. 6 Jl. Angkasa Raya Kav. B6, Pusat 10610, ",Jakarta,62 21 2664 6956,http://www.karyatehnik.net
Khrista Dasetra PT,"Jl Gajah Mada 3-5 Perk Duta Merlin Bl B/46-51, ",Jakarta,021 6337719,http://www.acterna.com
Integra Mitra Sejati PT,"Jl Mangga Dua Raya Harcomas Mangga Dua Lt Dasar 27-28,Mangga Dua Selatan,Sa, ",Jakarta,021 62304546,http://www.ims.com
Grahatrindo Pancamitra PT,"Jl Kembang Kerep Raya Rukan Taman Meruya Bl M/57,Meruya Ilir,Kembangan, ",Jakarta,021 5858989,http://www.grahatrindo.com
Indotek Jaya Mandiri PT,"Jl Pluit Raya 8 Bl B-5,Pejagalan,Penjaringan, ",Jakarta,021 6606223,http://www.tektronix.com
Fuji News Network Tokai TV. Jakarta,"JL. Jend. Sudirman Kav. 3 - 4, Palmerah, West Jakarta Fuji News Network Tokai TV. Jakarta, Wisma Kyoei Prince, 14 Floor, Unit 1408, 11480, ",Jakarta,+62 21 5724 182,
Elektrofon Computer & Communication Center,"Jl Sumatera 6,Sutojayan, LODOYO 66172",,0342 441692,http://www.plasa.com
Adhicipta Aksara Sejati. PT,"Wisma Harapan II, Blok H - 2 / 14 - 16, Mekarsari Cimanggis, South Jakarta, 16952, ",Jakarta,+62 21 8727 502,
Dwidaya Adisakti PT,"Jl Sultan Iskandar Muda 17 A-B,Kebayoran Lama Selatan,Kebayoran Lama, ",Jakarta,021 7233335,http://www.badaklng.co.id
WH8 CCTV SOLUTIONS,"Jalan Soekarno Hatta G7 (Depan Plaza Mebel), ",Pekanbaru,08126799432,http://www.wehalapan.com
RentalHTSurabaya.com,"Jl Taman Pondok Jati, ",Surabaya,031 6058 3331,http://www.rentalhtsurabaya.com
Radio Komunitas Warga Godean. PT (Swaragodean FM),"JL. Suparjo 33 Godean, Sleman, ",Yogyakarta,+62 274 666 3650,http://www.swaragodean.or.id
Radio Suara Yudha. PT (Yudha FM),"JL. Gunung Catur II Blok E/6, Bali 80117, ",Denpasar,,
Radio Megaswara,"Jl. Radio no. 1 Aminta Azmali Sriwedari Sukabumi, ",Sukabumi,0266 237112,http://www.megaswara.com
Gema Megantara Pesona. PT (Radio Heartline FM),"JL. Raya Tulikup, Gianyar - Bali, GIANYAR",,+62 361 952 800,http://www.heartline.co.id
Fiber Optic Network Solutions Bangladesh Ltd.,143/1 New Baily Road,,+880-2-8311323,http://www.fonsbd.com
China Comservice Indonesia. PT,"Wisma 46-Kota BNI, 31st Floor, Suite 3101, JL. Jend. Sudirman Kav.1, Jakarta, 10220, Indonesia, ",Jakarta,+62 21 571 9876,http://www.ccsindo.com
Gelora Ronggolawe PT Radio,"Jl.Dr. Wahidin Sudirohusodo No.56 Tuban - East Java 62314, TUBAN",,+62 356 321 409,http://www.ronggolawe.tripod.com
Cura Indonesia PT,"Jl Letjen TB Simatupang Kav 10,Cilandak Barat,Cilandak, ",Jakarta,021 7512025,http://www.cura.com
Fons Bangladesh Ltd,143/1 New Baily Road,,+880-2-8311323,http://www.fonsbd.com
Dymar Jaya Indonesia PT,"Jl Jend Gatot Subroto Ged Manggala Wanabakti Wing C Bl IV Lt 5,Gelora,Tanah, ",Jakarta,021 5711320,http://www.dymarjaya.co.id
BETELCO,19 Kakrail,,+880-2-8313326-7,http://www.betelco.com
Bytel.co.id,"Jl. Utan Panjang Timur No. 6 A Kompek Ruko Indomart 10650, ",Jakarta,62 21 4288 8767,http://www.bytel.co.id
ANIK TELECOM BANGLADESH,"House # 16, Road # 36, Gulshan-2, 12121",,9891538/ 8858849/ 9883619/ 8837118,http://www.aniktelecom.com
Aifa Nirmala Sistelindo PT,"Pert Nakula Plaza Bl B/8,Dangin Puri Kaja,Denpasar Timur, ",Denpasar,0361 737308,http://www.aifa.com.my
Usaha Mediantara Intranet PT,"Jl Gajah Mada 19-26 Gajah Mada Tower Lt 4,Petojo Utara,Gambir, ",Jakarta,021 6340526,http://www.spot.net.id
Swara Rhadana Dunia PT Radio,"Jl Dr Saharjo 202,Manggarai Selatan,Tebet, ",Jakarta,021 8307678,http://www.radioa967fm.com
Anik Bangladesh,"House #16 (1st Floor), Road #36, Apartment #2a, Gulshan, 1212",,88-02-8858849,http://www.anikbd.com
Swara Rhamagong PT Radio,"Jl Palapa 17,Oebobo,Oebobo, ",Kupang,0380 832692,http://www.rhamagongfm.com
Solid Network Internet Tangerang,"Jl. Nusa Indah 4 Blok G3 No.17, ",Tangerang,622160900390,http://internettangerang.net
RADIO JAYABAYA FM KEDIRI,"JL. Kartini 12, East Java, ",Kediri,+62 354 682 875,http://www.jayabayafm.com
Radio Swara Andika Jaya. PT (Andika FM),"JL. Semeru 243, East Java 64116, ",Kediri,+62 354 777 000,http://www.andikafm.com/
Radio Suara Denpasar Sakti. PT (Cassanova FM),"JL. Jendral Gatot Subroto 98x Bali 80231, ",Denpasar,+62 361 262 123,http://www.cassanovabalifm.com
Radio Swara Adhiloka. PT (Radio Anak Jogja FM),"JL. P. Senopati, Yogyakarta, ",Yogyakarta,+62 274 551 321,http://www.radioanakjogja.com
Radio Gita Bakti Persada. PT (Phoenix FM),"JL. Ciung Wenara, Bali, ",Denpasar,+62 361 223 199,http://www.phoenixradiobali.com
Radio Flamboyan Bali Indah. PT (FBI FM),"JL. Gatot Subroto I No. 37 Bali 80239, ",Denpasar,+62 361 410 101,http://fbifm.com
Radio Swara Karimata Permai. PT,"JL.Raya Panglegur 123, Pamekasan-East Java, PAMEKASAN",,+62 324 333 999,http://www.karimatafm.com
Radio Citra Dharma Bali Satya. PT (CDBS FM),"JL. Danau Buyan 74 Sanur - Bali 80228, ",Denpasar,+62 361 283 602,http://www.cdbsfm.com
Radio Swara Sentosa Pratama. PT (Radio SPFM Makasar),"JL. Macan 21, Makasar - South Sulawesi, 90123, ",Makassar,+62 411 873 642,http://www.radiospfm.com
PT. Asia Global Technology Machinery Indonesia,"Kota Wisata, Monaco, blok W2/66 Cibubur, Jawa Barat 16967, ",Bogor,62 21 8493 1372,http://www.agtm.co.id
Radio Suara Gema Atmajaya. PT (Radio Sonora),"JL. Angkatan 45 Lr. Harapan I, No.23, Pelembang - South Sumatera, 30113, ",Palembang,+62 711 359 148,http://www.sonora-network.com
Patra Telekomunikasi Indonesia PT,"Jl Pringgodani II 33, ",Jakarta,021 8454040,http://www.patrakom.co.id
Radio Serambi Indonesia Penyiaran. PT (Serambi FM),"JL. Raya Lambaro KM 4.5 Meunasah ManyangAceh Besar - Banda Aceh, ",Banda Aceh,+62 651 635 544,http://serambifm.com
Nera Indonesia PT,"Jl Jend Sudirman Kav 25 Plaza Lippo Lt 12,Karet,Setia Budi, ",Jakarta,021 5201355,http://www.neraindo.co.id
Monitor Sky Shop,"54 Inner Circular Road (2nd Floor), (vip Road), Scout Market",,+880-2-8314657,http://www.spydhaka.com
Para Bima Nusa Sakti PT,"Jl RS Fatmawati 15 Ruko Golden Plaza Bl J/31,Cipete Utara,Kebayoran Baru, ",Jakarta,021 75915785,http://www.parabima.com
Mitratel,"Gedung Graha Pratama - 5th Floor Jl. MT Haryono Kav-15 12810, ",Jakarta,62 21 8370 9592,http://www.mitratel.co.id
Radio Shamsindo Indonusa. PT (Suara Muslim Surabaya / Radio Sham FM),"JL. Dinoyo 57, East Java 60265, ",Surabaya,+62 31 5624 666,http://suaramuslimsurabaya.com/
Radio Gema Suara Makmur. PT,"JL. Madegondo 15 Kartasura, Sukoharjo - Central Java 57192, SUKOHARJO",,+62 271 626 669,http://www.gsmfm.com
Radio Swara Carolina. PT (Radio Pronews 90 FM),"JL. Belanti Jaya, Lolong, Ulak Karang, North West Sumatera Gedung Melati Duo, 25136, ",Padang,+62 751 784 4988,http://www.pronewsfm.com
Radio Gitanada Ekasapta. PT (Gita FM),"jl.Irian Jaya IV No.10 Tebuireng, Jombang - East Java 61471, JOMBANG",,+62 321 561 3002,http://gitafm.co.cc/
Radio Swara Bojonegoro Indah. PT (Radio SBI FM),"JL. Untung Suropati 82, Bojonegoro - East Java, BOJONEGORO",,+62 353 886 500,http://www.sbifmbojonegoro.com
Radio Suara Besuki Indah. PT (SBI FM),"JL. Raya Besuki 56 Kota Timur, Situbondo-East Java 68356, SITUBONDO",,+62 338 891 833,https://sites.google.com/site/radiosbi903fm/
Radio Elfara,"JL. Villa Puncak Tidar U-95, East Java 65146, ",Malang,+62 341 577 001,http://www.93elfarafm.co
Radio Visi Orang Medan Sumatera. PT (Radio Visi FM),"JL. Iskandar Muda No. 117 A, Medan, North Sumatra, ",Medan,+62 61 452 6154,http://visifm.co.id
Radio SKIP Conexim. PT (Radio SKIP FM),"JL. Danau Talaga No 9, Central Sulawesi, 94222, ",Palu,+62 451 454 505,http://www.skipfm.co.id
Radio Swara Gadjah Mada. PT (Swaragama FM),"JL. Bulaksumur Blok H no. 5, Yogyakarta 55281, ",Yogyakarta,+62 274 549 515,http://www.Swaragama.com
Radio Harbos FM Pati,"59116, PATI",,+62 295 386 002,http://www.radioharbosfm.com
Radio Anna Ibnu Kholi. PT (Radio Amanna FM),"JL. Halim Perdana Kusuma 15, Bangkalan - East Java 69116, BANGKALAN",,+62 31 309 2745,http://amannafm.com/
Radio Kirana Indah Sentra Suara. PT (KISS FM ),"JL. Arowana 75 Kaliwates, Jember - East Java, JEMBER",,+62 331 424 055,http://kissfmjember.com/
Radio Retjo Buntung. PT,"JL. Jagalan 36 Yogyakarta, ",Yogyakarta,+62 274 512 942,http://www.retjobuntungfm.co.id
Radio Alsomk Jalo Maradio. PT (Star Radio FM),"JL. H. Agus Salim 1, West Sumatera 25121, ",Padang,+62 751 840 909,http://www.starradiofmpadang.com
Radio Prosa Lirik Nada. PT (Radio Prosalina FM),"JL. Karimata No. 98, Jember - East Java 68121, JEMBER",,+62 331 330 715,http://www.prosalinaradio.com
Radio Kidung Indah Selaras Suara. PT (KISS FM),"JL. Cut Nyak Dien No.16, Medan, North Sumatra, 20152, ",Medan,+62 61 414 2291,http://www.kissfm-medan.com
Radio Genta Bawani Sakti. PT (GBS FM),"JL. Puncak Lijen 88, Banyuwangi - East Java 68432, BANYUWANGI",,+62 333 410 539,http://www.radiogbs.com/
Radio Istakalisa FM,"JL. Kalisahak 28, Yogyakarta 55222, ",Yogyakarta,+62 274 555 031,http://www.istakalisa.com
"Radio Malang Kucecwara. PT (M FM 101,3 Mhz)","JL.Terusan Candi Kalasan Lt. 2 Blimbing, East Java 65142, ",Malang,+62 341 481 028,http://mfmmalang.com/
Radio Sikamoni. PT,"JL. Bunga Cempaka No. 17 Psr. 3 Tanjung Sari, North Sumatra 20132, ",Medan,+62 61 821 2757,http://sikamonifmmedan.com
Radio Pragola Pati. (Pragola FM),"JL. Raya Banyu Urip km 3, Pati-Central Java, PATI",,+62 295 382 990,http://www.pragolafm.com
Radio Riau Robbani. PT (Robbani FM),"JL. Khayangan no. 46 Rumbai Pesisir, Riau, ",Pekanbaru,+62 761 554 555,http://www.robbanifmpekanbaru.com
Radio Gamasi Jaya. PT (Radio Gamasi FM),"JL.Veteran Selatan 71, Komp. Marindah Blok B12Makasar - South Sulawesi, 90131, ",Makassar,+62 411 874 785,http://www.gamasifm.com
Radio Smart FM,"JL. Soekarno Hatta, Semarang-Central Java Graha Spirit 2nd Floor Arteri Business Park 1-3, ",Semarang,+62 24 670 1777,http://radiosmartfm.com
Radio Gayafavorit Media mandiri. PT (Gaya FM),"Jl Pringgading 26, Central Java 50135, ",Semarang,+62 24 351 8607,http://gayafmsemarang.com/
Radio Mitra Caraka Informasi Beragam. PT (Mitra FM),"JL. Teuku Umar 78, Magetan - East Java 63383, MAGETAN",,+62 351 498 766,http://www.mitrafm.net/
Radio Suara Padang. PT (Radio Suara Padang FM),"JL. Letjen S. Parman 188, West Sumatera, ",Padang,+62 751 705 6041,http://padangfm.com
Radio Mitra Adi Swara. PT (MAS FM),"JL.Dr. Cipto 16, East Java 65111, ",Malang,+62 341 359 359,http://www.radiomasfm.com/
